Título Artículo,Nombre Revista Científica,Resumen,Año
Information technology models for the adaptation of the production processes,Journal of Physics: Conference Series,"For an organization it is important to have clearly the objectives, goals and purposes of its business and that all people who are related to it have the same clarity of how the organization works and where it wants to go, for this there are management tools such as the balanced scorecard that along with the control panels can get to have an articulation and better knowledge of the processes that exist within it. A review of the state of the art of the management tool is made to know its components and be able to design a model that fits the experimental farm of the Universidad Francisco de Paula Santander, Ocaña, Colombia, attached to the ""Facultad de Ciencias Agrarias y del Ambiente"", to support the administrative process of the same. The balanced scorecard will be taken into account, which is a management tool based on indicators that facilitate the monitoring and achievement of farm objectives, helping the organization to meet its objectives, bearing in mind that the balanced scorecard has 4 important approaches to the process: client, internal processes, innovation and training. For the development of the investigation a methodology with a quantitative approach will be handled where it is tried to know the handling of the processes and to adapt them to the models of government of technologies of the information, with the objective to diagnose and to determine the key indicators of the productive processes of the farm of the university contributing to the continuous improvement. © Published under licence by IOP Publishing Ltd.",2019
Innovation in Latin America through the lens of bibliometrics: crammed and fading away,Scientometrics,"Research in the field of innovation in business, management, and accounting (BMA) in Latin America (LATAM) has surpassed all expectations of its net output. Yet this digital tide suggests several concerns regarding its impact and both its established and emergent research topics at the individual, institutional, and country level. In this paper, an outlook of the field was developed based on a sample of + 1300 documents indexed in Scopus from 1983 to 2018. Public institutions in Brazil and Colombia have been both the most cited and productive in the region. Nevertheless, documents lead by non-LATAM authors showed significant differences in both paper citations and journals’ h-index compared to leading authors from LATAM. Three of the major concerns raised were, first, a growing inter-regional gap among LATAM countries. Second, the intensive use of a journal with predatory features over the last 5 years, therefore cites/document measure is at the lowest point of the past 17 years. And third, the delay of recently emergent topics in the region that have been in the literature for more than a decade, while frontier topics for BMA innovation such as those of Industry 4.0 remain unnoticed. © 2019, The Author(s).",2019
Conceptual model of information technology management for smart cities: Smarticity,Journal of Global Information Management,"This article presents a proposal of conceptual model for public administrations that allows analyzing the level of IT management capacity as an enabler of smart cities from a multidimensional and dynamic approach taking into account technological, institutional and innovation aspects. The model includes five domains (e-government strategy, Public Innovation, Data Management, IT Services and Infrastructure) that are described in terms of key domain areas, objectives and questions. The model was conceptually validated with four IT offices in Colombia and a pilot test was developed in the Atlantic department. A profile of information technology management capabilities was obtained from public data of the Ministry of ICT in Colombia. Copyright © 2019, IGI Global.",2019
Relationship between innovation and performance: Impact of competitive intensity and the organizational slack [Relação entre inovação e desempenho: Impacto da intensidade competitiva e do slack organizacional] [Relación entre la innovación y el desempeño: Impacto de la intensidad competitiva y el slack organizacional],RAE Revista de Administracao de Empresas,"Innovation is a key factor in organizational performance. Although the strategic theory has delivered the references to understand the relationships between these two variables, there are still many gaps that need to be filled, and more empirical validation is necessary. This study aimed to verify how the relationship between innovation and performance is affected by the presence of precursor variables such as competitive intensity and organizational slack. The study was carried out through an explanatory and cross-sectional investigation, by applying structural equation modeling (SEM) to a sample of SMEs in Bogotá (Colombia). The results make a relevant contribution to the literature on strategic management by showing that competitive intensity and organizational slack induce innovation and positively impact performance. © RAE.",2019
Effectiveness of a case management model for the comprehensive provision of health services to multi-pathological people [向多种疾病患者全面提供医疗服务的案例管理模式的有效性],Journal of Advanced Nursing,"Aim: To determine the effectiveness of a case management model for approaching multi-pathological people in a health promoting entity of the contributory healthcare scheme in Bogotá, Colombia between 2018 -. Design: Mixed methods research. Method: The study contemplates two components: a quantitative component using a quasi-experimental analytical design before and after longitudinal intervention to determine the effectiveness of the case management model and a qualitative descriptive design to understand the experience of the participants about the model. The Administrative Department of Science, Technology and Innovation of Colombia (Colciencias) funded this project by means of call 777—November 2017, under the financing agreement No. 848—December 2017. Discussion: Addressing problems deriving from the structure of the Colombian healthcare system is crucial for implementing case management models. Furthermore, the effectiveness of such models may be affected by power relations and market failures, but the proved potential of a model may represent a generalized benefit for the Colombian health system. Impact: In Colombia, considering complications and management of chronic non-communicable diseases as isolated cases is considered as the highest cost events in healthcare provision, since an average of 12.8 million pesos is invested in each patient. This has led to rethink the management in these patients by means of a comprehensive model that guarantees the effectiveness of healthcare delivery, in the framework of a healthcare system heavily affected by payment capacity, where the market has a strong predominance, such as the case of Colombia. Trial registration number: RPCEC00000293. © 2018 John Wiley & Sons Ltd",2019
Cycles of action and reflection as the basis of transformative innovation,Management Research Review,"Purpose: This paper aims at explaining the design process of a learning model targeting potential entrepreneurs with no technical or business expertise aiming to develop sustainable business models in deprived areas. The case that the paper explores focuses on experiential learning and learning in adulthood to design a learning model that considers context and socio-demographic characteristics, makes clear the interconnections between sustainability principles, entrepreneurship rationale and design methodologies and includes actions and processes of reflection and contextual interaction. Design/methodology/approach: Following a recursive argument, the paper applies design research methodology (DRM) to systematically design the “transformative innovation model” that Product Co Creation Centers (PC3) from the University of Twente (The Netherlands) has developed. Findings: Building on Kolb’s cycle of experiential learning, the result of applying DRM is a learning cycle of confrontation, observation, practice and application. The proposed learning model is applied to a specific setting in Colombia, allowing to verify and validate whether the learning model leads to the expected outcomes. It is argued that an interdisciplinary approach, a focus on feedback loops and the consideration of the context are important elements for addressing and transforming complex problems related to sustainable development from the bottom-up. Originality/value: This paper contributes to academic research in management emphasizing a solution-finding approach based on a prescription-driven research process, informed by design science research. © 2018, Emerald Publishing Limited.",2019
"Business innovation: Competitiveness factor and quality of life in popayán, colombia [Innovación empresarial: Factor de competitividad y calidad de vida en popayán, colombia]",Revista Venezolana de Gerencia,"Under today’s competitive conditions, micro, small and medium-sized enterprises in Popayán (Colombia) must maintain their economic development in competitive markets. The objective is to determine the role of innovation in Popayán enterprises, as a competitiveness factor to achieve improvement of the quality of life in the region. The research is qualitative, exploratory and uses as an instrument the semistructure interview in thirty companies. The main results indicate that innovation is based on guidelines or technologies for continuous improvement in processes, products and services that are applied as a competitive advantage; framed in external factors to be aware of changes in the environment and take advantage of technological improvements, and internal factors in implementation of open, participatory management, decentralization in decision-making, motivation of staff and commitment to innovation. As important conclusions, it is obtained that, innovation is a competitive advantage that allows the differentiation, and adapt to changes of the environment. It can be seen that companies offer improved products and services, and to innovate, they do not invest large amounts of resources, however, they have managed to achieve innovation and, therefore, improvement in quality of life. © Universidad del Zulia. All rights reserved.",2019
Effect of absorptive capabilities on acquisition and exploitation open innovation capabilities,"Managing Technology for Inclusive and Sustainable Growth - 28th International Conference for the International Association of Management of Technology, IAMOT 2019","Colombia is a country that has achieved important growth in innovation in its services and industrial sector. However, both research and empirical evidence about its development is very limited. Innovation based on firms’ capacity of transformation and exploitation is one of the main keys to acquisition and exploitation of open innovation. This empirical study analyses the relationship between absorptive capabilities and acquisition and exploitation open innovation capabilities in a sample of 123 organizations situated in the city of Medellin, Colombia. The findings show that firms developing absorptive capabilities may have better probabilities to improve their open innovation acquisition and exploitation. This study suggests that companies where managers motivate their employees to use external information and external knowledge in the innovation process may have a better chance of improving their innovation performance. © IAMOT 2019.",2019
Conceptualization of technology transfer and its impact evaluation: Case Cotecmar,"Managing Technology for Inclusive and Sustainable Growth - 28th International Conference for the International Association of Management of Technology, IAMOT 2019","In this changing world and globalized economy, technology transfer processes play a fundamental role in the learning and development of a company’s capabilities, leading the organization’s growth strategies towards a technological flow consisting of the dissemination, transmission and appropriation of knowledge, experiences, know-how and technologies from one organization to another in order to obtain for both a benefit that contributes to being competitive and remaining in the market. From a business perspective, technology and knowledge are fundamental assets for the growth and sustainability of the organization, being these the pillars on which competitiveness and its differentiation in the market are based. Today, technological development and the creation of new and improved products and services have become drivers for the global economy, whereas emerging as challenges for organizations that must keep pace with the advance of science, technology and innovation if they want to remain in the market being competitive and generating returns (Rios and Marroquín, 2012). Technology transfer strategies then become drivers and generators of knowledge that impact the development of technological capabilities in the company and directly or indirectly promote the growth of a sector of the economy. These types of projects bring with them an effort on the part of the organizations that use personnel, resources and time in a transfer process in search of the increase of their technological capacities and business development. In Colombia, for example, technology-based organizations are companies that usually make use of this type of transfer processes such as licensing agreements, technical assistance and services contracts, mobility of personnel towards other industries, company mergers or acquisitions or intellectual property rights, with the objective of impacting their business growth through the development of new and better products and services for the benefit of their clients, in addition to impacting the country’s industrial development. An example of this is the Corporación de Ciencia y Tecnología para el Desarrollo de la Industria Naval, Marítima y Fluvial—COTECMAR (Science and Technology Corporation for the Development of the Naval, Maritime and Fluvial Industry), which by developing technology transfer projects has achieved the country’s technological independence in terms of the manufacture of ships and naval devices, appropriating technologies and knowledge from shipyards with the most experience in the world. Given this situation, this article presents a conceptualization and establishes the main characteristics of technology transfer processes, tracks the main contributions of authors and institutions towards the evaluation of the effects of such projects on the growth of the company and finally proposes a process for the evaluation of their impact through a practical case. The evaluation methodology is based on the disaggregation of dimensions used by the Logical Framework Methodology guided by the four approaches put forward by Daniel Stufflebeam to carry out an evaluation process. © IAMOT 2019.",2019
"A tool for the interpretation of organizational myths: The case of innovation in the City of MedellÃ­n, Colombia",Organizational Cultures,"Considering that myths in organizations tell stories that allow recognizing a set of values, beliefs and ideologies that imprint individuality to the organization, the purpose of this study is to propose a conceptual tool for Organizational management by analyzing and interpreting myths in organizations. Said tool can be easily implemented, as it is shown in its practical application to the analysis of innovation in the city of MedellÃ­n, Colombia. In the past, MedellÃ­n was associated with drug trafficking and destruction and today is considered the most innovative city in the world. By applying the proposed tool to the innovation case of MedellÃ­n, it is possible to analyze and understand how this transformation was possible in the city of MedellÃ­n and how the myth of management is an intermediary between the myth of referenceâ€”paradigm of the pastâ€”and the organizational mythâ€”associated with organizational goals. Â© Common Ground Research Networks, Manuela Escobar-Sierra, Felipe Calderon-Valencia.",2019
Campesinos del Sonson-Colombia facing the program to strengthen productive capacity [Campesinos del Sonsón-Colombia frente al programa de fortalecimiento de la capacidad productiva],Revista de Ciencias Sociales,"From a hermeneutic perspective, the Urban Agriculture Program of the Caritas La Dorada Social Pastoral is analyzed. Program that seeks to improve the living conditions of victims of violence. It begins with the demobilization of paramilitary groups and the return of families to their plots; It is intended that they produce fresh foods, improve their diet and market surpluses. This study investigates the perceptions of the beneficiaries through in-depth interviews and participant observation. The fieldwork was carried out for 2 months, using the non-probabilistic sampling technique, with 40 older adults from the San Miguel district in the municipality of Sonson. Of the interviews conducted, training was received for 40% of the beneficiaries, and training in broiler management allowed them to improve their diet; In addition, the beneficiaries believe that the productive techniques taught demand a long time and there is no reduction in production costs or increase in short-term income. With this study, the perception and adaptation strategies that families use in the face of change or innovation processes are recognized. © 2019 Korean Society of Exercise Rehabilitation.",2019
Energy management in the health sector of Colombia: A case of clean and sustainable development [Gestión Energética en el Sector Salud en Colombia: Un Caso de Desarrollo Limpio y Sostenible],Informacion Tecnologica,"The objective of this article is to analyze energy management from the perspective of clean and sustainable development in institutions that provide health services in Colombia. The study is carried out through a qualitative approach with a method of documentary review of the literature with information from scientific articles of the last 8 years, located in specialized databases, this with the purpose of exploring advances in this area worldwide and determine the contributions that could be replicated in the country. Results show that there is evidence of institutional support for the development of energy management, as well as the definition of various alternatives and areas of intervention depending on the different services provided. It is concluded that the sources of greatest energy consumption are concentrated in air conditioning and lighting, and that strategies to reduce costs are related to the optimization of energy supply contracts and hospital facilities. © 2019 Centro de Informacion Tecnologica. All rights reserved.",2019
Relationship between knowledge management and innovation capacity in health institutions [Relación entre la gestión del conocimiento y la capacidad de innovacion en instituciones de salud (Colombia)],Espacios,"This article analyzes the relationship between knowledge management and innovation capability in health institutions. The review of the literature allowed to identify and to establish the conceptual definition and contextualization of the determining variables that affect in the proposed relationship. The empirical study was carried out in high complexity hospitals in Colombia. The data was processed using the structural equation modeling (SEM) technique. The results show that the variables of the knowledge management (competitive environment, the flexible structure, the organizational culture, the learning climate, the exploration capacity and the exploitation capacity), are determinants and positively effects on the innovation capability in health institutions. © 2019 Revista ESPACIOS.",2019
"Analysis of the management of science, technology and innovation projects under the PMI principles [Análisis de la Gestión de proyectos de Ciencia, Tecnología e Innovación bajo los Principios del PMI]","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","The Research, Development and Innovation projects have important challenges from the point of view of their management. In this article, an analysis of the management of this type of projects based on the principles of project management published by the Project Management Institute is carried out. The analysis is applied to the case of projects financed by the General System of Science, Innovation and Technology Royalties in the department of Atlántico in Colombia. With the results presented, We intend that the science and technology institutions and the research directors of the projects can have better management tools in the execution of this type of projects. © 2019 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.",2019
Agro-biotechnology management based on the analysis of the influential factors in the organization of the countryside in Colombia and Venezuela [Gerencia agro-biotecnológica basada en el análisis de los factores influyentes en la organización del campo en Colombia y Venezuela],Espacios,"The research conceptualizes Agro-Biotechnological Management (GABT), for Colombia and Venezuela from the perspective of the analysis of the influencing factors in the organization of their fields, according to the postulates of the DOGIL model from Petit (2012), associated with innovation in management. The results of the study constitute a theoreticalmethodological contribution for the strategic transformation of the management in question; at the same time, a useful data system is exhibited as a scientific basis for the emergence of a theoretical management model. © 2019 Revista Espacios.",2019
"Knowledge management in developing regions: The case of Valle de Aburrá, Colombia",International Journal of Knowledge-Based Development,"This study aims to identify the components of a knowledge management (KM) model to support innovation governance in a Colombian cosmetics cluster. The inter-organisational management of knowledge applied to innovation governance, and the perspective of endogenous economic development emphasises the structural specificities of developing countries. In line with this objective, the community-based participatory research (CBPR) and Delphi methods were combined to collect information from the cluster's different stakeholders, among them dependent shareholders who expressed their views through spokespersons. In an initial stage, a knowledge management model was built. After a second stage with a planning exercise, it integrates organisational and contextualisation proposals, together with the specificities of each of the cluster's stakeholders. Copyright © 2019 Inderscience Enterprises Ltd.",2019
Analysis of the management model for the development of technological innovation in the public universities of the Caribbean coast region of Colombia [Análisis del modelo de gestión para el desarrollo de innovación tecnológica en las universidades públicas de la Costa Caribe colombiana],Espacios,"An analysis of the management model for the development of technological innovation in the faculties of engineering of the public universities of the Caribbean Coast is presented. A descriptive investigation was carried out, with field design and population of 4 universities. The results show that the variable management model has a high presence in the institutions, while the variable of technological innovation has a moderate presence, indicating that it is necessary to strengthen the R & D processes in the university context. © 2019.Se presenta un análisis del modelo de gestión para el desarrollo de innovación tecnológica en las facultades de ingeniería de las universidades públicas de la Costa Caribe. Se realizó una investigación descriptiva, con diseño de campo y población de 4 universidades. Los resultados muestran que la variable modelo de gestión tiene alta presencia en las instituciones, mientras que la variable de innovación tecnológica tiene una moderada presencia, indicando que se necesitan fortalecer los procesos de I + D en el ámbito universitario. © 2019.",2019
Integrated Management Systems and Modern Management,"2018 Congreso Internacional de Innovacion y Tendencias en Ingenieria, CONIITI 2018 - Proceedings","In Colombia 17% of the Universities have high quality accreditation, these being the Higher Education Institutions HEI, more competitive and of quality in the market, all of them favored by an Integral Management System -IMS, which allow to establish their policies and achieve their objectives. Then the question arises: How could the administration of HEI be improved? Thus, the objective of this Investigation is to analyze the importance of IMS in modern management, as well as how IMS affect the strategic institutional direction. The results present a methodology to implement the IMS and make it integrate with the Higher Education Quality Assurance System -SACES. The following studies relate to the way of continuing integrating other systems of management, one presents of conclusive form the integration to the SIG of the management of the Investigation, development and innovation I+D+I through the NTC 5801 standard, case Universidad Militar Nueva Granada -UMNG. © 2018 IEEE.",2018
Determinants of innovation capacity in medium-sized firms,Journal of Physics: Conference Series,"This paper aims to analyse the determinants of innovation capacity in medium-sized firms. It analyses the following factors: Culture of participative leadership, work climate and well-being, ideation and organization structures, development of know-how, exploitation of external knowledge, regeneration and individual activity. The approach of this study is descriptive quantitative field and not experimental. The project used a data collection questionnaire with 21 items, to a sample of medium-sized companies in Valledupar, Colombia. The results indicate that the determinants of innovation capacity are present in the companies analysed in the study. Additionally, the ANOVA results show that there are significant differences between the culture factor and participative leadership, with the factor of regeneration. Likewise, there are differences between the exploitation of external knowledge and working climate and well-being, ideation and organizational structures, development of know-how, regeneration and individual activity. © Published under licence by IOP Publishing Ltd.",2018
Knowledge transfer from universities to regions as a network spreading process,"4th IEEE International Symposium on Systems Engineering, ISSE 2018 - Proceedings","In developing countries it is necessary to understand how knowledge transfer (KT) occurs via human capital from universities to regions. This transfer can be viewed as diffusion process and is one essential factor in explaining regional innovation and resulting socioeconomic developments. This phenomenon has been studied at the organizational level, however there are few contributions that consider spreading process models over networks in the macro context. This paper presents a KT model of human capital from university nodes to productive organization nodes for seven Colombian regions, and examines how the proportion of graduates absorbed by each region generates new knowledge products. The phenomenon we consider is based on the susceptible-infected-susceptible (SIS) epidemic process, where the spread parameters are related to the knowledge absorption capacity and the ineffectiveness or unused knowledge of the previous spreading process in the region. In addition, the model tries to explain the dependence of knowledge products (KP) with Science, Technology, Engineering and Math (STEM) graduates and the productive structure complexity. To validate the model, we have used the data of13 consecutive years obtained from the Education Ministry, as well as from the Science and Technology Observatory of Colombia. Our findings reflect that the proposed model explains the KT phenomenon, where each node or region is a heterogeneous node, because they have different absorption and ineffectiveness parameters, as well as, diverse productive structure configurations. © 2018 IEEE.",2018
Modes of learning and profitability in Colombian and Mexican SMEs,Journal of High Technology Management Research,The aim of this study is to analyze the effects of different modes of learning on innovation and profitability in SMEs in two Latin American countries; Mexico and Colombia. The data were obtained using a sample of 250 companies in the industrial sector operating in both countries. Results show that an integrated mode of learning based on internal and external knowledge supported by technological infrastructure have positive and significant effects on the degree of innovation and the profitability in SMEs However this effect appears to be not significantly different from the traditional SMEs mode of learning based mainly on market orientation. © 2018,2018
Productive chain management around disruptive technologies. Engaging sustainability and materials research,IOP Conference Series: Materials Science and Engineering,"Mining is always a controversial issue and mainly when the discussion is addressed to developing countries. In Colombia, the mining panorama was and continues to be ruled by a formal, modern, and large-scale mining mainly focused in coal, the exploitation of nickel, and some companies that exploit gold in different places. Also, a large part of the mining activity is done at minor scales, defined in many cases by informality and the subsistence character. Bearing sustainability in mind, it is worth asking about the balance implies by the exploitation without added value of local and strategic materials that are irreversibly scarcer every time, including metallic and non-metallic minerals. Opportunities around natural and non-renewable resources must focus on enhancing the quality of life, the question addressed here is how to penetrate in the global markets of sophisticated products as well as how to be serious about the so-called ""innovation"", but with accent on sustainability and disruptive technologies. © Published under licence by IOP Publishing Ltd.",2018
Facilitating business collaborations for industrial symbiosis: The pilot experience of the sustainable industrial network program in Colombia,Sustainability (Switzerland),"Industrial symbiosis refers to a collaborative strategy of exchanging physical resources and sharing services among industrial actors, which enhances the resource efficiency and reduces the environmental impacts of industrial operations within the network. Although it can contribute to sustainable development in emerging economies, few studies have examined the dynamics of industrial symbiosis in such regions. We initiated a capacity-building pilot program for industrial symbiosis in Colombia and formulated 20 industrial symbiosis projects with 36 companies. Based on our experience over the first year, we conducted an exploratory case study of the mechanisms that facilitate the development of industrial symbiosis. Specifically, we analyzed the nature of this facilitation and how its activities influence the key determining factors of industrial symbiosis in technical, economic, organizational, social, and institutional categories. Our facilitation approach focused on identifying opportunities and building capacity for industrial symbiosis innovation by influencing mainly the organizational and social factors. The facilitation approach requires further adjustments and experimentation to expand industrial symbiosis and to ensure the eventual implementation of these projects. This study contributes to the understanding of management perspectives of industrial symbiosis development in the context of an emerging economy. © 2018 by the authors.",2018
"Method of econometric structural equations for management analysis in science, technology and innovation [Método de ecuaciones estructurales econométricas para el análisis de gestión en ciencia, tecnología e innovación]",Informacion Tecnologica,"The purpose of the study is to propose a method to analyze altogether the management in science technology and innovation of the universities, government and private sector. The methodology employed in this study integrates an econometric equation system, according with economic and administrative literature concepts; observing baseline indicators. The findings, particularly for Boyacá-Colombia, show tripartite integration in research among the active research groups for scientific production, the Colciencias projects as investment returns in scientific activities and the offer of university programs to produce patents. These results are of importance for the design of public policies of research and development. © 2018 Centro de Informacion Tecnologica. All rights reserved.",2018
Challenges in implementing the extended producer responsibility in an emerging economy: The end-of-life tire management in Colombia,Journal of Cleaner Production,"With increasing problems related to the management of end-of-life products, emerging economies have adopted an environmental policy principle – Extended Producer Responsibility (EPR), following the example of OECD countries. Colombia was one of the early adopters in Latin America, having introduced EPR in 2007 to manage several end-of-life products, such as pesticide containers, medicines, lead acid batteries, light bulbs, small batteries, computers, and tires. However, there has been no comprehensive investigation into how EPR has been applied in the context of Colombia. Using the case of end-of-life tires, this study aimed to provide an understanding about two aspects of the EPR system in Colombia: the governance structure and the performance in the end-of-life management. This study found that the Colombian EPR governance model imposes full financial and operational responsibilities on tire producers and importers, while it fails to incentivize other actors in the product chain to carry out their allocated tasks and responsibilities. As for the performance, the EPR system has increased the amount of tires collected over the last five years, but the level is low compared with other developed countries, and more importantly, it does not fully promote the recovery of values from tire waste. The analysis of the current situation in Colombia and lessons from other countries suggest that the effectiveness of the EPR policy would require the establishment of solid, but feasible targets, while allowing flexibility in meeting those targets. It would also benefit from the consideration of economic instruments, as well as establishment of complementary policies to promote innovation and strengthen the regulatory controls over the free riders and management of tire waste. © 2018 Elsevier Ltd",2018
"Corporate universities as a new paradigm and source of social innovation, sustainability, technology and education in the XXI century",Strategies and Best Practices in Social Innovation: An Institutional Perspective,"In recent years, Corporate Universities have become a critical element in the development of human capital inside companies, institutions and organizations, promoting strategies based on knowledge management as an essential factor to achieve social innovation and sustainable competitive advantages aligned with the strategy. Therefore it is essential for these institutions to reach the highest levels of efficiency and excellence in company processes and structures and to achieve planned corporate goals and objectives. In this work an extensive and thorough review of the current literature was carried out in relation to the concept, in order to analyse the latest trends in Corporate Universities. A comparative evaluation with traditional university aspects was performed, identifying their own differentiators, for example the impact on social innovation, the development of sustainable com- petitive advantages, the influence on the company's internal environment, the importance of cultural and technological factors, and the relationship with the orga- nizations strategy, which are important factors in its successful development and interconnection within the company processes. The information obtained from the aforementioned literature review, in combination with the experience gained by the team of consultants and researchers at the PRIME Business School, Sergio Arboleda University, Bogota, Colombia, allowed to present proposed in general terms a new implementation model of Corporate University. This new model is based on five distinct phases, and with minor adaptations could be to any sector in an organization. The study shows that through this Corporate University model, an organization could gain differentiators to increase social innovation, in time gain sustainable competitive advantages, and a desirable alignment with the objectives and strategic goals of the organization. © Springer International Publishing AG, part of Springer Nature 2018. All rights are reserved.",2018
Validity of the instrument to determine the triggers of innovation capabilities in health care organizations [Validez del instrumento para determinar los detonantes de las capacidades de innovación en las organizaciones dedicadas al cuidado de la salud],Gaceta Medica de Caracas,"The proposal aims to validate an instrument that accounts for the predictors of innovation capabilities in healthcare organizations. Two techniques are accepted, one of them is the Exploratory Factor Analysis (AFE), and the other, the Confirmatory Factor Analysis (AFC). The sample consisted of 200 observations obtained from the network of high complexity hospitals in Colombia during 2016 and 2017. The research shows a valid instrument from its constructs and determinants (Knowledge Management, Human Resource Managament, Organizational Capabilities, Culture, and finally those associated with the Health Care Organizations). Furthermore, the results of the Confirmatory Factorial Analysis allowed to test the theoretical model. This type of initiative is pioneer for three reasons: 1) The application of the methods to the health sector; 2) the conceptual amplitude of a large number of internal predictors of the Innovation Capabilities and 3) the existence of some descriptive studies is detected, with special attention to innovation in a general way, but the intention of the present work goes far beyond the merely prescriptive works, tries to demonstrate by means of quantitative techniques the singularities of innovation capabilities in the health sector. © 2018 Academia Nacional de Medicina. All Rights Reserved.",2018
Social responsibility and welfare of elderly people [Responsabilidad social y bienestar de la persona mayor],"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa","In recent years, there has been a change in the topic of protection of the elderly in the world, due to the demographic transition process involving growth in the aging of the population and the foreseeable consequences. This is the reason why there has been a need for a common frame of reference for the welfare, protection and promotion of the rights of the elderly, including the contribution they can make to society, as well as the products and services that they perceive according to the requirements they demand. This article shares some results of the study*, carried out between 2012 and 2015 in two contexts, Colombia and Spain, whose objective was to understand the social reality of a growing market segment and the importance of current government and social policies for the protection and quality of life in senior citizen population. Health deteriorates generally as it advances in age, requiring special attention in the medium and long term, transposed into greater demand for services for the older person. Social economy companies are called to take action on the matter, considering, in truth, of components of the social quadrihelix, composed of: a) academia, through the approach of new professional skills, the exchange of experiences and the promotion of good practices, in addition to research and innovation for the elderly, b) the company, generating or providing appropriate services and products for this population, c) local, regional and national government through the enactment and implementation of the national policy of aging, seeking the protection and defense of the rights of the elderly, and d) the community, through volunteering and the inclusion of the person in conditions of social vulnerability. Thus, the four fronts, imply the commitment that both the citizen and the institutions have to society, in a common work under the same purpose, make visible the degree of corporate and institutional social responsibility and the implementation in benefit of appropriately intervening the situation of old age of population, coordinating and promoting national and international cooperation initiatives that create links with different stakeholders, in order to meet the needs, desires, expectations and tastes, through the quality and relevance of the service perceived by the older person, both in the residences where they live, the products they buy and consume, inside and outside the environment where they reside. The advances of science in recent years has been vertiginous, in a more significant way in medicine and in the new technologies applied to medical science in the pharmacological field, favouring longevity with quality life for the elderly, providing them with the opportunity for more autonomy, physical and mental activity. At the same time, it means that companies and institutions must offer new and better services in accordance with the expectations and needs, not only of the elderly, but also of the family members and administrative staff of the home/residence who need to improve the well-being of the person in charge of, allowing the user to make their own decisions of where to live, what products to consume, which brands and characteristics according to benefits they perceive and require. This is how, from the theoretical review on key conceptions of the elderly**, the demographic trends, the institutional framework of welfare policies in protection and social responsibility that affect the population of the elderly and that could influence health, housing, security and pensions, the variables to be taken into account were defined and three structured surveys and a questionnaire were designed to obtain primary information, highlighting the residences as a starting point and the public involved: seniors, relatives, directors of residential centers and subject matter experts. Allowing to contextualize ""in a general way"" the social welfare, the socioeconomic situation of the elderly population and the social policies that shelter it, as well as the business environment considered a challenge in the population aging process, which goes from managing human talent as a strategic asset in a competitive society until defining and implementing inclusive public policies. Reaching some theories and approaches of entrepreneurship social responsibility and the relationship between business / senior citizens, starting from the liberal relation to the approach of social institutions and thus get to relate some considerations of the residential environment (Colombia-Spain) and quality components of life as a foundation of the social welfare of the elderly as a being of multiple and interdependent needs. Finally, the study shows how, in Spain, in contrast to Colombia, interventions for the benefit of the elderly are notable, from the relationship with workers, volunteers and families. Meanwhile, corporate relations in social management, cooperation and solidarity, are found to be more visible in Spain as a comprehensive strategy and social content, however in both contexts there are gaps in innovation, in processes and products for the activity and physical mobility of this population. In same way, they are also working on the relationship: social responsibility / innovation. In Colombia, some progress has been made, but there is still a lack of promotion, articulation and initiatives of internal and external social responsibility, since there are no clear guidelines in a social responsibility management system that supports initiatives and proposals to manage participation or links with other entities of different sectors. However, in both contexts, it is necessary to coordinate and promote national and international cooperation, which allow the link with different stakeholders, in order to achieve the satisfaction of needs and desires, as well as the quality and relevance of perceived service by the older adult, in the residences and in the external environment where they reside. © 2018 CIRIEC-España.",2018
